MMTC Operator,2026-01-02,2026-01-09,2026-01-16,2026-01-23,2026-01-30,2026-02-06,2026-02-13,2026-02-20,2026-02-27,2026-03-06,2026-03-13,2026-03-20
Ayr Cannabis Dispensary,0,0,0,0,0,0,0,0,0,0,0,0
Cookies Florida,0,0,0,0,0,0,0,0,0,0,0,0
"Curaleaf Florida, LLC",0,0,0,0,0,0,0,0,0,0,0,0
"Eden Florida, LLC",0,0,0,0,0,0,0,0,0,0,0,0
FLUENT,0,0,0,0,0,0,0,0,0,0,0,0
Fino Cannabis,0,0,0,0,0,0,0,0,0,0,0,0
"GTI Florida, LLC",0,0,0,0,0,0,0,0,0,0,0,0
Goldflower Cannabis,0,0,0,0,0,0,0,0,0,0,0,0
Green Dragon,0,0,0,0,0,0,0,0,0,0,0,0
GrowHealthy,0,145,435,145,145,435,398,0,0,145,1160,145
Insa - Cannabis for Real Life,0,0,0,0,0,0,0,0,0,0,0,0
Jungle Boys,0,0,0,0,0,0,0,0,0,0,0,0
Mint Cannabis,0,0,0,0,0,0,0,0,0,770,1750,1260
MÜV,0,0,0,0,0,0,0,0,0,0,0,0
One Plant Cannabis,0,0,0,0,0,0,0,0,0,0,0,0
"Prosperity Medical, LLC",0,0,0,0,0,0,0,0,0,0,0,0
Revolution Florida,0,0,0,0,0,0,0,0,0,0,0,0
Sanctuary Cannabis,0,0,0,0,0,0,0,0,0,0,0,0
Sunburn,0,0,0,0,0,0,0,0,0,0,0,0
Sunnyside*,0,0,0,0,0,0,0,0,0,0,0,0
Surterra Wellness,0,0,74,0,0,0,0,0,0,0,0,0
The Flowery,0,0,0,0,0,0,0,0,0,0,0,0
"TheraTrue Florida, LLC",0,0,0,0,0,0,0,0,0,0,0,0
Trulieve,0,0,0,0,0,0,0,0,0,0,0,0
